"Agent (0 =A, 1 =B)"	Iterations	BitsPerObservation	"TimePerIt (0=normal, 1=extended)"	"Memory (0=normal, 1=extended)"	Score
1	11	37	1	0	99.30046
1	9	22	0	1	35.95894
1	12	30	0	0	249.0945
1	11	27	0	0	75.06146
1	8	33	0	0	2.897899
1	9	22	0	0	40.56494
1	11	32	0	0	84.72158
1	16	22	0	0	21.64022
1	12	33	1	0	124.1807
1	9	19	0	0	81.73908
1	13	21	0	0	170.9464
1	10	27	1	0	187.3993
1	7	17	0	0	30.23879
1	10	19	0	0	32.28503
1	13	27	0	0	145.8186
1	10	23	0	0	76.934
1	12	40	0	0	108.0432
1	12	26	0	0	107.4735
1	14	41	0	0	51.49501
1	9	38	0	0	64.0895
1	11	24	0	0	19.914
1	10	18	0	0	111.6317
1	11	29	1	0	96.42999
1	11	25	0	0	98.97049
1	10	27	0	1	111.4287
1	10	17	0	0	162.1804
1	11	24	0	0	9.957002
1	4	48	0	0	65.51592
1	11	25	1	0	15.74424
1	12	25	0	0	31.91753
1	14	42	0	0	205.0593
1	5	25	0	0	61.8188
1	12	23	1	0	59.11551
1	8	46	1	0	30.94156
1	12	21	0	0	12.54582
1	9	19	0	0	131.8883
1	8	17	0	0	80.61485
1	8	18	1	1	27.8796
1	11	20	0	0	39.7254
1	5	25	0	0	121.8741
1	12	23	0	0	48.43176
1	11	31	1	0	80.87487
1	12	25	0	0	23.48973
1	11	30	1	0	5.907818
1	9	37	0	0	10.67506
1	4	41	1	0	72.84986
1	14	42	1	0	131.6752
1	11	22	0	0	10.48432
1	8	29	0	0	19.23938
1	10	35	0	0	46.66236
1	11	27	0	0	5.492984
1	4	29	0	0	7.629146
1	9	28	0	0	106.9429
1	5	45	1	0	85.46715
1	13	29	0	0	74.79656
1	13	46	0	0	6.472046
1	12	25	0	0	119.6581
1	15	28	0	0	95.98541
1	11	25	0	0	187.8335
1	12	22	0	0	186.7808
1	11	40	0	0	230.056
1	11	22	0	0	64.56697
1	12	18	0	0	23.21107
1	12	38	0	0	49.41849
1	8	23	0	1	38.81284
1	11	26	0	0	172.3096
1	12	21	0	0	80.48603
1	11	31	1	0	145.0993
1	12	21	0	0	99.83784
1	12	25	0	0	55.87503
1	9	18	0	0	44.82845
1	12	42	0	0	24.56153
1	9	31	0	1	268.176
1	10	26	0	0	92.65788
1	11	25	0	0	4.852298
1	11	18	0	0	48.14627
1	11	19	0	0	74.58105
1	13	27	0	0	340.9928
1	9	17	0	0	19.53268
1	9	20	0	0	88.81665
1	9	17	0	1	62.1067
1	11	18	0	0	9.298839
1	12	21	0	0	125.5802
1	12	27	0	0	221.6325
1	12	20	0	0	16.52637
1	10	19	0	0	81.24715
1	12	23	0	0	6.713318
1	14	29	0	0	178.1498
1	10	18	0	0	97.37154
1	9	19	0	0	176.8518
1	11	18	0	0	43.21705
1	9	27	1	0	17.73423
1	10	23	1	0	112.3326
1	12	23	0	1	5.594432
1	11	20	0	0	10.8544
1	9	17	0	0	54.452
1	11	28	0	0	603.0793
1	11	26	1	0	14.6036
1	11	20	0	0	69.43342
1	11	24	1	0	40.32708
1	9	31	0	0	103.6327
1	8	23	1	0	42.32309
1	10	18	0	0	111.4139
1	11	26	0	0	133.8586
1	9	24	0	0	48.49559
1	10	24	0	0	16.60508
1	12	31	0	0	24.84549
1	11	19	0	0	41.46603
1	8	19	0	0	99.70681
1	11	26	1	0	263.7228
1	10	20	0	0	56.15189
1	10	28	0	0	31.96571
1	12	24	0	0	61.67681
1	8	19	0	0	75.35942
